Date,AAPL,AMZN,GOOGL,MSFT,NFLX,AAPL_Return%,AMZN_Return%,GOOGL_Return%,MSFT_Return%,NFLX_Return%
2024-04-23,165.39476013183594,179.5399932861328,156.96267700195312,401.408935546875,57.775001525878906,,,,,
2024-04-24,167.49563598632812,176.58999633789062,157.8255615234375,402.8763732910156,55.512001037597656,1.2702,-1.6431,0.5497,0.3656,-3.9169
2024-04-25,168.35780334472656,173.6699981689453,154.72122192382812,393.0078430175781,56.47999954223633,0.5147,-1.6535,-1.9669,-2.4495,1.7438
2024-04-26,167.77310180664062,179.6199951171875,170.5404815673828,400.17779541015625,56.12300109863281,-0.3473,3.426,10.2244,1.8244,-0.6321
2024-04-29,171.93524169921875,180.9600067138672,164.78802490234375,396.1693420410156,55.94900131225586,2.4808,0.746,-3.3731,-1.0017,-0.31
2024-04-30,168.7938232421875,175.0,161.44566345214844,383.4446105957031,55.06399917602539,-1.8271,-3.2935,-2.0283,-3.2119,-1.5818
2024-05-01,167.77310180664062,179.0,162.5167999267578,388.9698181152344,55.17100143432617,-0.6047,2.2857,0.6635,1.4409,0.1943
2024-05-02,171.469482421875,184.72000122070312,165.25416564941406,391.82598876953125,56.51499938964844,2.2032,3.1955,1.6844,0.7343,2.4361
2024-05-03,181.7261199951172,186.2100067138672,165.86911010742188,400.51263427734375,57.933998107910156,5.9816,0.8066,0.3721,2.217,2.5108
2024-05-06,180.0712127685547,188.6999969482422,166.7220458984375,407.28863525390625,59.696998596191406,-0.9107,1.3372,0.5142,1.6918,3.0431
2024-05-07,180.75498962402344,188.75999450683594,169.84620666503906,403.1521301269531,60.599998474121094,0.3797,0.0318,1.8739,-1.0156,1.5126
2024-05-08,181.0919189453125,188.0,167.99156188964844,404.3340148925781,60.946998596191406,0.1864,-0.4026,-1.092,0.2932,0.5726
2024-05-09,182.9053955078125,189.5,168.56680297851562,406.0871276855469,61.20899963378906,1.0014,0.7979,0.3424,0.4336,0.4299
2024-05-10,181.6451416015625,187.47999572753906,167.26754760742188,408.4704895019531,61.08700180053711,-0.689,-1.066,-0.7708,0.5869,-0.1993
2024-05-13,184.85037231445312,186.57000732421875,167.75352478027344,407.4659423828125,61.659000396728516,1.7646,-0.4854,0.2905,-0.2459,0.9364
2024-05-14,185.99154663085938,187.07000732421875,168.9436798095703,410.2630310058594,61.36600112915039,0.6174,0.268,0.7095,0.6865,-0.4752
2024-05-15,188.26397705078125,185.99000549316406,171.09588623046875,417.43597412109375,61.35200119018555,1.2218,-0.5773,1.2739,1.7484,-0.0228
2024-05-16,188.38304138183594,183.6300048828125,172.752197265625,415.3739013671875,61.051998138427734,0.0632,-1.2689,0.9681,-0.494,-0.489
2024-05-17,188.41282653808594,184.6999969482422,174.61680603027344,414.604248046875,62.11000061035156,0.0158,0.5827,1.0794,-0.1853,1.733
2024-05-20,189.57382202148438,183.5399932861328,175.4697265625,419.6658935546875,64.08200073242188,0.6162,-0.628,0.4885,1.2208,3.175
2024-05-21,190.87379455566406,183.14999389648438,176.39212036132812,423.3165283203125,65.06099700927734,0.6857,-0.2125,0.5257,0.8699,1.5277
2024-05-22,189.43490600585938,183.1300048828125,174.93418884277344,424.7767639160156,64.0469970703125,-0.7538,-0.0109,-0.8265,0.345,-1.5585
2024-05-23,185.44577026367188,181.0500030517578,172.12738037109375,421.3037109375,63.56700134277344,-2.1058,-1.1358,-1.6045,-0.8176,-0.7494
2024-05-24,188.52195739746094,180.75,173.5555877685547,424.42156982421875,64.67500305175781,1.6588,-0.1657,0.8297,0.7401,1.743
2024-05-28,188.5319061279297,182.14999389648438,174.95399475097656,424.5794372558594,64.9000015258789,0.0053,0.7745,0.8057,0.0372,0.3479
2024-05-29,188.82960510253906,182.02000427246094,174.45809936523438,423.4447937011719,65.46199798583984,0.1579,-0.0714,-0.2834,-0.2672,0.8659
2024-05-30,189.82191467285156,179.32000732421875,170.6991729736328,409.13824462890625,64.76599884033203,0.5255,-1.4834,-2.1546,-3.3786,-1.0632
2024-05-31,190.77455139160156,176.44000244140625,171.0859832763672,409.5921325683594,64.16200256347656,0.5019,-1.6061,0.2266,0.1109,-0.9326
2024-06-03,192.5408935546875,178.33999633789062,171.75048828125,408.0035400390625,63.37900161743164,0.9259,1.0768,0.3884,-0.3878,-1.2203
2024-06-04,192.8584442138672,179.33999633789062,172.3654022216797,410.51953125,63.1619987487793,0.1649,0.5607,0.358,0.6167,-0.3424
2024-06-05,194.36676025390625,181.27999877929688,173.9721221923828,418.3536071777344,65.0270004272461,0.7821,1.0817,0.9322,1.9083,2.9527
2024-06-06,192.98741149902344,185.0,175.2812957763672,418.8567810058594,64.85199737548828,-0.7097,2.0521,0.7525,0.1203,-0.2691
2024-06-07,195.3789520263672,184.3000030517578,173.02993774414062,418.1957702636719,64.14700317382812,1.2392,-0.3784,-1.2844,-0.1578,-1.0871
2024-06-10,191.6378631591797,187.05999755859375,173.7746124267578,422.162109375,64.44999694824219,-1.9148,1.4976,0.4304,0.9484,0.4723
2024-06-11,205.5601806640625,187.22999572753906,175.3732452392578,426.907958984375,64.8550033569336,7.2649,0.0909,0.9199,1.1242,0.6284
2024-06-12,211.43475341796875,186.88999938964844,176.53497314453125,435.1761169433594,65.00599670410156,2.8578,-0.1816,0.6624,1.9368,0.2328
2024-06-13,212.59579467773438,183.8300018310547,173.9235382080078,435.6892395019531,65.32599639892578,0.5491,-1.6373,-1.4793,0.1179,0.4923
2024-06-14,210.85922241210938,183.66000366210938,175.5420379638672,436.666015625,66.93800354003906,-0.8168,-0.0925,0.9306,0.2242,2.4676
2024-06-17,215.0071258544922,184.05999755859375,175.9888916015625,442.38861083984375,67.58300018310547,1.9671,0.2178,0.2546,1.3105,0.9636
2024-06-18,212.64540100097656,182.80999755859375,173.8540496826172,440.3857421875,68.56700134277344,-1.0984,-0.6791,-1.2131,-0.4527,1.456
2024-06-20,208.0707550048828,186.10000610351562,175.05552673339844,439.7543029785156,67.90299987792969,-2.1513,1.7997,0.6911,-0.1434,-0.9684
2024-06-21,205.8975830078125,189.0800018310547,178.3620147705078,443.7798156738281,68.61199951171875,-1.0444,1.6013,1.8888,0.9154,1.0441
2024-06-24,206.54258728027344,185.57000732421875,177.95489501953125,441.6980285644531,66.9020004272461,0.3133,-1.8564,-0.2283,-0.4691,-2.4923
2024-06-25,207.46548461914062,186.33999633789062,182.73092651367188,444.9342346191406,67.24099731445312,0.4468,0.4149,2.6838,0.7327,0.5067
2024-06-26,211.6133575439453,193.61000061035156,182.5819854736328,446.1280822753906,67.76899719238281,1.9993,3.9015,-0.0815,0.2683,0.7852
2024-06-27,212.4568634033203,197.85000610351562,184.1011962890625,446.80889892578125,68.43399810791016,0.3986,2.19,0.8321,0.1526,0.9813
2024-06-28,209.00357055664062,193.25,180.86422729492188,440.9875793457031,67.48799896240234,-1.6254,-2.325,-1.7583,-1.3029,-1.3824
2024-07-01,215.08651733398438,197.1999969482422,181.69830322265625,450.6370849609375,67.36100006103516,2.9105,2.044,0.4612,2.1882,-0.1882
2024-07-02,218.57949829101562,200.0,183.93240356445312,453.153076171875,67.95800018310547,1.624,1.4199,1.2296,0.5583,0.8863
2024-07-03,219.8496856689453,197.58999633789062,184.50833129882812,454.6231994628906,68.2509994506836,0.5811,-1.205,0.3131,0.3244,0.4311
2024-07-05,224.60292053222656,200.0,189.2545623779297,461.3226318359375,69.06500244140625,2.162,1.2197,2.5724,1.4736,1.1927
2024-07-08,226.0715789794922,199.2899932861328,187.6956329345703,460.0202331542969,68.5739974975586,0.6539,-0.355,-0.8237,-0.2823,-0.7109
2024-07-09,226.92494201660156,199.33999633789062,187.64601135253906,453.4096374511719,68.5739974975586,0.3775,0.0251,-0.0264,-1.437,0.0
2024-07-10,231.19195556640625,199.7899932861328,189.83045959472656,460.0301208496094,67.76499938964844,1.8804,0.2257,1.1641,1.4602,-1.1797
2024-07-11,225.823486328125,195.0500030517578,184.2600860595703,448.63421630859375,65.2750015258789,-2.3221,-2.3725,-2.9344,-2.4772,-3.6745
2024-07-12,228.77069091796875,194.49000549316406,183.7635955810547,447.4995422363281,64.76000213623047,1.3051,-0.2871,-0.2695,-0.2529,-0.789
2024-07-15,232.60107421875,192.72000122070312,185.21327209472656,447.9040832519531,65.6449966430664,1.6743,-0.9101,0.7889,0.0904,1.3666
2024-07-16,233.01785278320312,193.02000427246094,182.62168884277344,443.5232849121094,65.63200378417969,0.1792,0.1557,-1.3992,-0.9781,-0.0198
2024-07-17,227.12344360351562,187.92999267578125,179.74220275878906,437.60333251953125,64.74600219726562,-2.5296,-2.637,-1.5767,-1.3348,-1.35
2024-07-18,222.45948791503906,183.75,176.43569946289062,434.4953308105469,64.30400085449219,-2.0535,-2.2242,-1.8396,-0.7102,-0.6827
2024-07-19,222.58848571777344,183.1300048828125,176.40589904785156,431.2788391113281,63.33399963378906,0.058,-0.3374,-0.0169,-0.7403,-1.5085
2024-07-22,222.24119567871094,182.5500030517578,180.38760375976562,437.0310974121094,64.75,-0.156,-0.3167,2.2571,1.3338,2.2358
2024-07-23,223.2831268310547,186.41000366210938,180.5067596435547,438.9156188964844,64.2760009765625,0.4688,2.1145,0.0661,0.4312,-0.732
2024-07-24,216.86276245117188,180.8300018310547,171.41143798828125,423.1783752441406,63.5989990234375,-2.8754,-2.9934,-5.0388,-3.5855,-1.0533
2024-07-25,215.82086181640625,179.85000610351562,166.0991973876953,412.8184509277344,63.409000396728516,-0.4804,-0.5419,-3.0991,-2.4481,-0.2987
2024-07-26,216.2872314453125,182.5,165.8211669921875,419.5967712402344,63.137001037597656,0.2161,1.4734,-0.1674,1.642,-0.429
2024-07-29,216.56509399414062,183.1999969482422,168.33328247070312,421.0373229980469,62.69599914550781,0.1285,0.3836,1.515,0.3433,-0.6985
2024-07-30,217.1208038330078,181.7100067138672,169.0879364013672,417.2781982421875,62.257999420166016,0.2566,-0.8133,0.4483,-0.8928,-0.6986
2024-07-31,220.3756103515625,186.97999572753906,170.3291015625,412.7691650390625,62.834999084472656,1.4991,2.9002,0.734,-1.0806,0.9268
2024-08-01,216.68414306640625,184.07000732421875,169.55462646484375,411.5456237792969,62.48500061035156,-1.6751,-1.5563,-0.4547,-0.2964,-0.557
2024-08-02,218.17263793945312,167.89999389648438,165.4835662841797,403.0406494140625,61.36399841308594,0.6869,-8.7847,-2.401,-2.0666,-1.794
2024-08-05,207.66395568847656,161.02000427246094,158.1258544921875,389.87860107421875,59.85499954223633,-4.8167,-4.0977,-4.4462,-3.2657,-2.4591
2024-08-06,205.6395721435547,161.92999267578125,157.17262268066406,394.2790832519531,60.957000732421875,-0.9748,0.5651,-0.6028,1.1287,1.8411
2024-08-07,208.20970153808594,162.77000427246094,157.81805419921875,393.1148681640625,61.14799880981445,1.2498,0.5187,0.4107,-0.2953,0.3133
2024-08-08,211.67291259765625,165.8000030517578,160.88623046875,397.3180236816406,63.03499984741211,1.6633,1.8615,1.9441,1.0692,3.086
2024-08-09,214.5804443359375,166.94000244140625,162.51467895507812,400.6036071777344,63.39400100708008,1.3736,0.6876,1.0122,0.8269,0.5695
2024-08-12,216.11038208007812,166.8000030517578,161.14437866210938,401.3830261230469,63.31399917602539,0.713,-0.0839,-0.8432,0.1946,-0.1262
2024-08-13,219.82598876953125,170.22999572753906,163.00119018554688,408.487060546875,64.802001953125,1.7193,2.0564,1.1523,1.7699,2.3502
2024-08-14,220.27304077148438,170.10000610351562,159.23793029785156,411.2989501953125,66.16799926757812,0.2034,-0.0764,-2.3087,0.6884,2.108
2024-08-15,223.2534637451172,177.58999633789062,160.16139221191406,416.1620788574219,66.3219985961914,1.3531,4.4033,0.5799,1.1824,0.2327
2024-08-16,224.57481384277344,177.05999755859375,161.80967712402344,413.6317138671875,67.40699768066406,0.5919,-0.2984,1.0291,-0.608,1.636
2024-08-19,224.41583251953125,178.22000122070312,165.4934844970703,416.6563415527344,68.85299682617188,-0.0708,0.6551,2.2766,0.7312,2.1452
2024-08-20,225.03179931640625,178.8800048828125,165.9998779296875,419.88848876953125,69.85399627685547,0.2745,0.3703,0.306,0.7757,1.4538
2024-08-21,224.92251586914062,180.11000061035156,164.6792755126953,419.2362060546875,69.71199798583984,-0.0486,0.6876,-0.7955,-0.1553,-0.2033
2024-08-22,223.06471252441406,176.1300048828125,162.64373779296875,410.7454833984375,68.89600372314453,-0.826,-2.2098,-1.2361,-2.0253,-1.1705
2024-08-23,225.35963439941406,177.0399932861328,164.4508819580078,411.97113037109375,68.6729965209961,1.0288,0.5167,1.1111,0.2984,-0.3237
2024-08-26,225.69741821289062,175.5,164.98707580566406,408.7092590332031,68.84400177001953,0.1499,-0.8699,0.3261,-0.7918,0.249
2024-08-27,226.54188537597656,173.1199951171875,163.51751708984375,409.05523681640625,69.5719985961914,0.3742,-1.3561,-0.8907,0.0847,1.0575
2024-08-28,225.0119171142578,170.8000030517578,161.70045471191406,405.85272216796875,68.38400268554688,-0.6754,-1.3401,-1.1112,-0.7829,-1.7076
2024-08-29,228.29039001464844,172.1199951171875,160.6380157470703,408.3435363769531,69.24800109863281,1.457,0.7728,-0.657,0.6137,1.2635
2024-08-30,227.5055389404297,178.5,162.2267303466797,412.31707763671875,70.13500213623047,-0.3438,3.7067,0.989,0.9731,1.2809
2024-09-03,221.3162078857422,176.25,156.24920654296875,404.70611572265625,67.53199768066406,-2.7205,-1.2605,-3.6847,-1.8459,-3.7114
2024-09-04,219.4087371826172,173.3300018310547,155.34564208984375,404.17236328125,67.96800231933594,-0.8619,-1.6567,-0.5783,-0.1319,0.6456
2024-09-05,220.9287567138672,177.88999938964844,156.13003540039062,403.6682434082031,68.36199951171875,0.6928,2.6308,0.5049,-0.1247,0.5797
2024-09-06,219.37892150878906,171.38999938964844,149.8546600341797,397.05560302734375,66.5770034790039,-0.7015,-3.6539,-4.0193,-1.6381,-2.6111
2024-09-09,219.4683380126953,175.39999389648438,147.85623168945312,401.0291442871094,67.54199981689453,0.0408,2.3397,-1.3336,1.0008,1.4494
2024-09-10,218.67355346679688,179.5500030517578,147.80650329589844,409.4111328125,67.36199951171875,-0.3621,2.366,-0.0336,2.0901,-0.2665
2024-09-11,221.20692443847656,184.52000427246094,150.29214477539062,418.1488952636719,68.14700317382812,1.1585,2.768,1.6817,2.1342,1.1654
2024-09-12,221.3162078857422,187.0,153.8018798828125,422.0630798339844,68.68000030517578,0.0494,1.344,2.3353,0.9361,0.7821
2024-09-13,221.04794311523438,186.49000549316406,156.5559844970703,425.611572265625,69.70600128173828,-0.1212,-0.2727,1.7907,0.8407,1.4939
2024-09-16,214.90830993652344,184.88999938964844,157.1525115966797,426.3529052734375,69.6500015258789,-2.7775,-0.858,0.381,0.1742,-0.0803
2024-09-17,215.37521362304688,186.8800048828125,158.40528869628906,430.1188659667969,70.69100189208984,0.2173,1.0763,0.7972,0.8833,1.4946
2024-09-18,219.24977111816406,186.42999267578125,158.8924560546875,425.82904052734375,69.0469970703125,1.799,-0.2408,0.3075,-0.9974,-2.3256
2024-09-19,227.3763885498047,189.8699951171875,161.20909118652344,433.617919921875,70.43199920654297,3.7066,1.8452,1.458,1.8291,2.0059
2024-09-20,226.7107391357422,191.60000610351562,162.65077209472656,430.2374572753906,70.10299682617188,-0.2928,0.9112,0.8943,-0.7796,-0.4671
2024-09-23,224.99205017089844,193.8800048828125,160.9207763671875,428.4978332519531,70.53700256347656,-0.7581,1.19,-1.0636,-0.4043,0.6191
2024-09-24,225.8861541748047,193.9600067138672,161.3582305908203,424.2080078125,72.22599792480469,0.3974,0.0413,0.2718,-1.0011,2.3945
2024-09-25,224.8927001953125,192.52999877929688,160.56283569335938,427.114013671875,72.15599822998047,-0.4398,-0.7373,-0.4929,0.685,-0.0969
2024-09-26,226.03518676757812,191.16000366210938,161.7957000732422,426.3232421875,71.14299774169922,0.508,-0.7116,0.7678,-0.1851,-1.4039
2024-09-27,226.30343627929688,187.97000122070312,163.00868225097656,423.0712890625,70.73500061035156,0.1187,-1.6688,0.7497,-0.7628,-0.5735
2024-09-30,231.4794464111328,186.3300018310547,164.89779663085938,425.3249206542969,70.927001953125,2.2872,-0.8725,1.1589,0.5327,0.2714
2024-10-01,224.73374938964844,185.1300048828125,166.03126525878906,415.8260498046875,70.61299896240234,-2.9142,-0.644,0.6874,-2.2333,-0.4427
2024-10-02,225.30003356933594,184.75999450683594,164.90773010253906,412.3072204589844,71.10900115966797,0.252,-0.1999,-0.6767,-0.8462,0.7024
2024-10-03,224.197265625,181.9600067138672,164.90773010253906,411.7240295410156,70.68000030517578,-0.4895,-1.5155,0.0,-0.1414,-0.6033
2024-10-04,225.31988525390625,186.50999450683594,166.10086059570312,411.24957275390625,71.97000122070312,0.5007,2.5005,0.7235,-0.1152,1.8251
2024-10-07,220.2432403564453,180.8000030517578,162.0442657470703,404.804931640625,70.19200134277344,-2.2531,-3.0615,-2.4422,-1.5671,-2.4705
2024-10-08,224.296630859375,182.72000122070312,163.4362335205078,409.9151916503906,72.1760025024414,1.8404,1.0619,0.859,1.2624,2.8265
2024-10-09,228.04200744628906,185.1699981689453,160.93069458007812,412.6334228515625,72.74299621582031,1.6698,1.3408,-1.533,0.6631,0.7856
2024-10-10,227.54525756835938,186.64999389648438,161.14942932128906,411.0321044921875,73.02899932861328,-0.2178,0.7993,0.1359,-0.3881,0.3932
2024-10-11,226.06500244140625,188.82000732421875,162.3027801513672,411.506591796875,72.27899932861328,-0.6505,1.1626,0.7157,0.1154,-1.027
2024-10-14,229.79052734375,187.5399932861328,164.01290893554688,414.2939758300781,71.30000305175781,1.648,-0.6779,1.0537,0.6774,-1.3545
2024-10-15,232.3238983154297,187.69000244140625,164.51004028320312,413.8985900878906,70.5979995727539,1.1025,0.08,0.3031,-0.0954,-0.9846
2024-10-16,230.26739501953125,186.88999938964844,164.21176147460938,411.30889892578125,70.19999694824219,-0.8852,-0.4262,-0.1813,-0.6257,-0.5638
2024-10-17,230.63497924804688,187.52999877929688,161.99456787109375,411.9019470214844,68.76499938964844,0.1596,0.3424,-1.3502,0.1442,-2.0442
2024-10-18,233.46636962890625,188.99000549316406,162.4817352294922,413.3253173828125,76.38899993896484,1.2277,0.7785,0.3007,0.3456,11.087
2024-10-21,234.93670654296875,189.07000732421875,163.1280059814453,413.9381408691406,77.20700073242188,0.6298,0.0423,0.3977,0.1483,1.0708
2024-10-22,234.32078552246094,189.6999969482422,164.19186401367188,422.56719970703125,76.42400360107422,-0.2622,0.3332,0.6522,2.0846,-1.0142
2024-10-23,229.25404357910156,184.7100067138672,161.8454132080078,419.69085693359375,74.92900085449219,-2.1623,-2.6305,-1.4291,-0.6807,-1.9562
2024-10-24,229.06529235839844,186.3800048828125,161.78578186035156,419.8193359375,75.45500183105469,-0.0823,0.9041,-0.0368,0.0306,0.702
2024-10-25,229.89981079101562,187.8300018310547,164.32113647460938,423.19976806640625,75.46800231933594,0.3643,0.778,1.5671,0.8052,0.0172
2024-10-28,231.87681579589844,188.38999938964844,165.76278686523438,421.6578369140625,74.91200256347656,0.8599,0.2981,0.8773,-0.3644,-0.7367
2024-10-29,232.1450653076172,190.8300018310547,168.70578002929688,426.9558410644531,75.94400024414062,0.1157,1.2952,1.7754,1.2565,1.3776
2024-10-30,228.59835815429688,192.72999572753906,173.45834350585938,427.5291442871094,75.3740005493164,-1.5278,0.9956,2.8171,0.1343,-0.7506
2024-10-31,224.43572998046875,186.39999389648438,170.12759399414062,401.65185546875,75.60299682617188,-1.8209,-3.2844,-1.9202,-6.0528,0.3038
2024-11-01,221.45529174804688,197.92999267578125,170.30654907226562,405.6253662109375,75.61000061035156,-1.328,6.1856,0.1052,0.9893,0.0093
2024-11-04,220.56114196777344,195.77999877929688,168.26832580566406,403.7374267578125,75.5510025024414,-0.4038,-1.0862,-1.1968,-0.4654,-0.078
2024-11-05,221.9917449951172,199.5,168.7654571533203,406.7027587890625,76.39099884033203,0.6486,1.9001,0.2954,0.7345,1.1118
2024-11-06,221.2665252685547,207.08999633789062,175.49658203125,415.32196044921875,78.02100372314453,-0.3267,3.8045,3.9884,2.1193,2.1338
2024-11-07,225.99545288085938,210.0500030517578,179.7122344970703,420.51123046875,79.65399932861328,2.1372,1.4293,2.4021,1.2495,2.093
2024-11-08,225.72691345214844,208.17999267578125,177.32601928710938,417.6546630859375,79.50399780273438,-0.1188,-0.8903,-1.3278,-0.6793,-0.1883
2024-11-11,223.01174926757812,206.83999633789062,179.31455993652344,413.17706298828125,80.54399871826172,-1.2029,-0.6437,1.1214,-1.0721,1.3081
2024-11-12,223.01174926757812,208.91000366210938,180.57723999023438,418.13897705078125,81.94999694824219,0.0,1.0008,0.7042,1.2009,1.7456
2024-11-13,223.89691162109375,214.10000610351562,177.85296630859375,420.2839050292969,83.0469970703125,0.3969,2.4843,-1.5086,0.513,1.3386
2024-11-14,226.98007202148438,211.47999572753906,174.57192993164062,421.9543762207031,83.72599792480469,1.377,-1.2237,-1.8448,0.3975,0.8176
2024-11-15,223.77757263183594,202.61000061035156,171.4996795654297,410.20184326171875,82.39600372314453,-1.4109,-4.1942,-1.7599,-2.7853,-1.5885
2024-11-18,226.7811737060547,201.6999969482422,174.2935333251953,410.95306396484375,84.70500183105469,1.3422,-0.4491,1.6291,0.1831,2.8023
2024-11-19,227.0397491455078,204.61000061035156,177.09732055664062,412.9595642089844,87.13200378417969,0.114,1.4427,1.6087,0.4883,2.8652
2024-11-20,227.75584411621094,202.8800048828125,174.96963500976562,410.6861267089844,88.38500213623047,0.3154,-0.8455,-1.2014,-0.5505,1.438
2024-11-21,227.27845764160156,198.3800048828125,166.66757202148438,408.913330078125,89.74800109863281,-0.2096,-2.2181,-4.7449,-0.4317,1.5421
2024-11-22,228.62112426757812,197.1199951171875,163.81405639648438,413.00372314453125,89.77899932861328,0.5908,-0.6351,-1.7121,1.0003,0.0345
2024-11-25,231.60479736328125,201.4499969482422,166.68743896484375,414.7765808105469,86.55899810791016,1.3051,2.1966,1.7541,0.4293,-3.5866
2024-11-26,233.7829132080078,207.86000061035156,168.14901733398438,423.888427734375,87.26000213623047,0.9404,3.1819,0.8768,2.1968,0.8099
2024-11-27,233.65362548828125,205.74000549316406,168.25839233398438,418.9363098144531,87.73400115966797,-0.0553,-1.0199,0.065,-1.1683,0.5432
2024-11-29,236.0405731201172,207.88999938964844,167.97999572753906,419.4018249511719,88.68099975585938,1.0216,1.045,-0.1655,0.1111,1.0794
2024-12-02,238.2882843017578,210.7100067138672,170.50543212890625,426.8497619628906,89.77400207519531,0.9523,1.3565,1.5034,1.7758,1.2325
2024-12-03,241.3316650390625,213.44000244140625,170.35629272460938,427.06768798828125,90.21700286865234,1.2772,1.2956,-0.0875,0.0511,0.4935
2024-12-04,241.68971252441406,218.16000366210938,173.36888122558594,433.22802734375,91.10600280761719,0.1484,2.2114,1.7684,1.4425,0.9854
2024-12-05,241.71954345703125,220.5500030517578,171.64883422851562,438.3782043457031,91.78700256347656,0.0123,1.0955,-0.9921,1.1888,0.7475
2024-12-06,241.5206298828125,227.02999877929688,173.70693969726562,439.3191223144531,93.4739990234375,-0.0823,2.9381,1.199,0.2146,1.8379
2024-12-09,245.40940856933594,226.08999633789062,174.56297302246094,441.74560546875,91.36900329589844,1.6101,-0.414,0.4928,0.5523,-2.252
2024-12-10,246.4238739013672,225.0399932861328,184.31788635253906,439.08135986328125,91.33499908447266,0.4134,-0.4644,5.5882,-0.6031,-0.0372
2024-12-11,245.15081787109375,230.25999450683594,194.50079345703125,444.68719482421875,93.65599822998047,-0.5166,2.3196,5.5246,1.2767,2.5412
2024-12-12,246.6128387451172,228.97000122070312,191.07664489746094,445.251708984375,92.55500030517578,0.5964,-0.5602,-1.7605,0.1269,-1.1756
2024-12-13,246.7819061279297,227.4600067138672,188.94647216796875,442.9836730957031,91.88700103759766,0.0686,-0.6595,-1.1148,-0.5094,-0.7217
2024-12-16,249.67608642578125,232.92999267578125,195.75498962402344,447.26226806640625,92.10800170898438,1.1728,2.4048,3.6034,0.9659,0.2405
2024-12-17,252.1028289794922,231.14999389648438,194.52069091796875,450.104736328125,91.91300201416016,0.972,-0.7642,-0.6305,0.6355,-0.2117
2024-12-18,246.70233154296875,220.52000427246094,187.5330047607422,433.19830322265625,88.95500183105469,-2.1422,-4.5987,-3.5923,-3.7561,-3.2183
